"1","Nefen","Rogerson","nrogerson0@tumblr.com","Male","Human Resources","28","Colorado","3XL"
"2","Kippar","Saffin","ksaffin1@si.edu","Male","Human Resources","292","California","2XL"
"3","Panchito","Crichley","pcrichley2@wired.com","Female","Engineering","178","California","XL"
"4","Skippy","McTavy","smctavy3@friendfeed.com","Male","Sales","304","Illinois","S"
"5","Trudie","Codner","tcodner4@newyorker.com","Male","Business Development","219","Florida","M"
"6","Valentia","Padwick","vpadwick5@amazonaws.com","Male","Engineering","100","Louisiana","3XL"
"7","Gale","Hotchkin","ghotchkin6@com.com","Female","Legal","255","Michigan","XS"
"8","Yovonnda","Habgood","yhabgood7@imageshack.us","Male","Marketing","368","Oklahoma","M"
"9","Jazmin","Lubomirski","jlubomirski8@sourceforge.net","Male","Human Resources","395","Oregon","M"
"10","Carmina","Kluge","ckluge9@yahoo.co.jp","Female","Services","358","California","XS"
"11","Irena","Kennaird","ikennairda@mail.ru","Male","Services","386","California","3XL"
"12","Kathi","Sissens","ksissensb@theglobeandmail.com","Male","Accounting","423","Louisiana","3XL"
"13","Saw","Guiraud","sguiraudc@simplemachines.org","Male","Legal","468","Oregon","3XL"
"14","Joanie","Broadhurst","jbroadhurstd@youku.com","Male","Sales","58","Ohio","M"
"15","Cindee","Dolbey","cdolbeye@sfgate.com","Female","Engineering","393","Oklahoma","XS"
"16","Jan","Pelman","jpelmanf@histats.com","Female","Engineering","468","Texas","S"
"17","Jo-ann","Pursey","jpurseyg@jalbum.net","Male","Research and Development","170","Virginia","2XL"
"18","Theodora","Colleton","tcolletonh@vistaprint.com","Female","Marketing","39","Ohio","S"
"19","Wadsworth","Lukianovich","wlukianovichi@europa.eu","Female","Marketing","151","Georgia","XL"
"20","Haleigh","Seabright","hseabrightj@pagesperso-orange.fr","Female","Sales","396","California","S"
"21","Yorke","Bloyes","ybloyesk@g.co","Female","Training","370","Illinois","XL"
"22","Yehudit","Sainer","ysainerl@vk.com","Male","Marketing","324","Colorado","M"
